Fecha,Apertura,Maximo,Minimo,Cierre,Volumen,Rendimiento,Volatilidad Anualizada
2024-04-22,182.45,183.315,180.45,181.94,3074442,0.0,
2024-04-19,182.43,182.8,180.57,181.58,3037990,-0.001980634450304386,
2024-04-18,182.35,183.46,180.17,181.47,2886733,-0.0006059771566784278,
2024-04-17,184.16,184.67,181.78,183.1,3003033,0.008942100893531979,
2024-04-16,185.59,185.71,182.86,183.75,4473654,0.0035436864124811507,
2024-04-15,185.57,187.48,180.88,181.25,3528140,-0.013698844358161821,
2024-04-12,184.0,185.1699,181.685,182.27,3547378,0.00561181050205839,
2024-04-11,186.04,186.795,184.58,185.9,2861736,0.019719790490555944,
2024-04-10,187.42,187.915,185.52,186.04,3081915,0.0007528096284978858,
2024-04-09,190.54,191.25,186.66,189.31,2790673,0.017424178665922163,
2024-04-08,189.24,190.24,188.9118,189.82,2673611,0.002690371680527548,
2024-04-05,188.59,190.32,188.02,189.14,2012428,-0.0035887731149797375,
2024-04-04,192.0,193.28,187.34,187.94,2924438,-0.006364718632447364,
2024-04-03,188.6,191.35,188.485,190.9,2818910,0.015626967776783296,
2024-04-02,189.14,189.8,187.6,188.88,2689711,-0.010637837954444507,
2024-04-01,190.0,190.46,188.52,189.83,2362586,0.005017042025192708,
2024-03-28,190.94,191.9299,190.34,190.96,3742169,0.005935047228124546,
2024-03-27,189.6,190.96,188.6,190.8,3693305,-0.0008382230163883619,
2024-03-26,189.02,190.0,188.5,188.5,4229535,-0.012127752126120939,
2024-03-25,190.26,190.82,188.75,188.79,3718289,0.0015372793188861422,
2024-03-22,192.0,192.985,190.51,190.84,3988398,0.010800094440954311,
2024-03-21,193.0,193.37,190.01,191.9,6013561,0.005539022365748103,
2024-03-20,192.87,193.98,191.31,193.96,3238643,0.010677549223497174,
2024-03-19,191.49,193.58,190.28,193.34,5317341,-0.003201655200691711,
2024-03-18,191.7,193.23,190.32,191.69,5410562,-0.008570813186390858,
2024-03-15,191.99,193.0573,190.7,191.07,8828184,-0.003239630798685056,
2024-03-14,196.95,197.748,192.12,193.43,4102202,0.012275836862622569,
2024-03-13,197.55,198.1,195.32,196.7,3960737,0.0167640354810068,
2024-03-12,192.46,199.18,192.15,197.78,5862512,0.005475576446831276,
2024-03-11,195.09,195.38,190.88,191.73,4712688,-0.031067169511544535,
2024-03-08,196.06,197.77,194.38,195.95,3943113,0.02177139231534042,
2024-03-07,197.58,198.73,196.14,196.54,4604458,0.003006448288640051,
2024-03-06,193.5,198.13,192.96,196.16,6945818,-0.0019353201864333869,
2024-03-05,192.0,193.94,190.57,191.95,5653641,-0.02169573130104041,
2024-03-04,187.76,193.898,187.6,193.06,7938266,0.0057660999736626195,
2024-03-01,185.49,188.38,185.18,188.2,4018354,-0.02549579426919024,
2024-02-29,186.15,186.8495,184.69,185.03,6458487,-0.01698725305765425,
2024-02-28,184.63,185.37,183.55,185.3,3216345,0.0014581591976892128,
2024-02-27,184.16,185.13,182.62,184.87,3641378,-0.002323257926959421,
2024-02-26,185.6,186.125,184.06,184.13,4620815,-0.0040108454852259,
2024-02-23,184.9,186.455,184.57,185.72,3433800,0.008598133272592179,
2024-02-22,182.45,184.55,181.93,184.21,5078398,-0.008163751987594559,
2024-02-21,182.56,183.03,178.75,179.7,4728473,-0.024787617374612658,
2024-02-20,187.64,188.77,183.06,183.44,4247181,0.020598844760135293,
2024-02-16,186.63,188.95,185.9452,187.64,4842840,0.02263759491060835,
2024-02-15,183.62,186.98,183.62,186.87,4714301,-0.004112045526093233,
2024-02-14,185.0,185.0,182.26,183.57,3173391,-0.017817121791605217,
2024-02-13,184.28,184.77,182.36,183.7,4290453,0.000707926078521659,
2024-02-12,185.9,186.48,184.03,186.16,4724021,0.013302526772956291,
2024-02-09,184.44,187.18,183.85,186.34,5064641,0.0009664430282425585,
2024-02-08,182.63,184.55,181.49,184.36,5161185,-0.01068259416997197,
2024-02-07,183.34,184.02,182.625,183.74,4841188,-0.0033686530089864775,
2024-02-06,183.55,184.68,183.04,183.41,3338196,-0.0017976308803797636,
2024-02-05,185.51,185.78,183.255,183.42,4379602,5.452116785686911e-05,
2024-02-02,187.1,187.39,185.615,185.79,4055411,0.012838398487281744,
2024-02-01,183.63,187.51,182.71,186.9,4669444,0.00595671084343774,
2024-01-31,187.05,187.65,183.14,183.66,8876055,-0.01748749227614077,
2024-01-30,187.71,188.65,186.77,187.87,4575058,0.02266401209383062,
2024-01-29,187.46,189.46,186.05,187.14,6107908,-0.0038932344314401846,
2024-01-26,191.31,192.3896,186.16,187.42,9895941,0.0014950878479105256,
2024-01-25,184.96,196.9,184.83,190.43,29596239,0.01593258527504826,
2024-01-24,174.76,174.86,172.9,173.93,7831157,-0.09063175355066377,
2024-01-23,172.9,174.02,172.48,173.94,3983461,5.749274155686379e-05,
2024-01-22,172.82,174.45,172.4,172.83,4925964,-0.006401959749217312,
2024-01-19,170.59,171.5791,169.18,171.48,6929079,-0.007841810682625017,
2024-01-18,166.49,166.99,165.04,166.84,3776990,-0.027431372401031773,
2024-01-17,166.79,167.82,165.495,166.08,4288604,-0.004565669351221047,
2024-01-16,165.8,167.25,165.34,166.96,4869635,0.005284662791421368,
2024-01-12,162.97,165.98,162.355,165.8,4958261,-0.0069720200677503286,
2024-01-11,161.02,162.23,160.29,162.16,3778395,-0.022198740557450414,
2024-01-10,160.28,161.34,159.74,161.23,2967852,-0.005751585168096263,
2024-01-09,160.0,160.4837,159.51,160.08,2617186,-0.007158226700170189,
2024-01-08,158.69,161.216,157.885,161.14,3321698,0.006599862073572105,
2024-01-05,159.91,160.55,158.67,159.16,3698961,-0.012363566790321912,
2024-01-04,160.22,161.81,160.17,160.86,3212004,0.010624435917194752,
2024-01-03,161.0,161.73,160.08,160.1,4086065,-0.004735801473254142,
2024-01-02,162.83,163.29,160.46,161.5,3825044,0.00870652266004246,
2023-12-29,163.75,164.18,162.83,163.55,2526169,0.01261361132168215,
2023-12-28,163.96,163.96,163.4,163.75,2071313,0.0012221205309677075,
2023-12-27,163.14,163.64,162.68,163.46,3006612,-0.0017725624273774443,
2023-12-26,162.23,163.31,162.05,163.21,1772443,-0.0015305969253791574,
2023-12-22,161.1,162.41,161.0,162.14,2442715,-0.006577555603043628,
2023-12-21,160.59,161.08,159.53,160.78,2982924,-0.008423188659746117,
2023-12-20,161.29,161.8,160.01,160.05,4865797,-0.004550704483942347,
2023-12-19,161.8,162.28,161.32,161.56,3717429,0.009390324279340057,
2023-12-18,162.23,163.33,161.5766,162.74,3677533,0.007277244573298702,
2023-12-15,162.3,164.09,162.04,162.23,11016108,-0.00313875384620399,
2023-12-14,162.93,163.499,160.149,162.91,6129804,0.004182819655770942,
2023-12-13,164.37,164.9653,162.735,163.62,4989141,0.004348765007474498,
2023-12-12,163.27,166.34,162.92,164.71,5292290,0.0066396857090316175,
2023-12-11,162.68,163.65,161.95,163.51,6077207,-0.0073122012480890675,
2023-12-08,160.0,162.04,160.0,161.96,4561342,-0.009524759382534498,
2023-12-07,161.0,161.465,159.97,160.22,3665498,-0.010801520376990226,
2023-12-06,161.59,162.355,160.01,160.28,3356432,0.0003744149809730146,
2023-12-05,160.76,162.47,160.72,161.39,4556668,0.0069015102797873595,
2023-12-04,160.29,162.79,160.29,161.1,5779017,-0.0017985058648024577,
2023-12-01,158.41,160.59,158.0,160.55,4871860,-0.0034198696474057044,
2023-11-30,156.95,158.6,156.89,158.56,6740622,-0.012472349953844386,
2023-11-29,156.15,157.51,156.02,156.41,3568887,-0.013652305895528016,
2023-11-28,155.44,155.745,154.86,155.65,2666182,-0.004870867798532963,0.22634217769511314
